mean_line,std_line,up_line,low_line
10.620334493702856,0.09558260088283366,10.907082296351357,10.333586691054355
10.62033041592302,0.09558625515087035,10.90708918137563,10.33357165047041
10.620327489129428,0.09558590712534305,10.907085210505457,10.3335697677534
10.62033041592302,0.09558625515087035,10.90708918137563,10.33357165047041
10.62032725893218,0.0955846890359975,10.907081326040172,10.333573191824188
10.620328146835853,0.09558434101047018,10.907081169867263,10.333575123804442
10.620345214317584,0.09558381897217923,10.907096671234122,10.333593757401047
10.620350410198343,0.09558608113810671,10.907108653612664,10.333592166784022
10.620354586634143,0.09558799527850688,10.907118572469663,10.333590600798622
10.620350607510272,0.09558712521468862,10.907111983154337,10.333589231866206
10.620353863157074,0.09558416699770653,10.907106364150193,10.333601362163956
10.620354619519464,0.09558312292112463,10.907103988282838,10.33360525075609
10.620361985831424,0.09558173081901539,10.90710717828847,10.333616793374379
10.620354718175427,0.09558364495941557,10.907105653053675,10.33360378329718
10.62035478394607,0.09558399298494288,10.907106762900899,10.33360280499124
10.620355079913962,0.09558555909981575,10.907111757213409,10.333598402614514
10.620362544881887,0.0955846890359975,10.90711661198988,10.333608477773895
10.620357546313056,0.09558347094665193,10.907107959153011,10.3336071334731
10.620353041024044,0.09558486304876114,10.907107630170328,10.33359845187776
10.620349653835955,0.09558712521468862,10.90711102948002,10.33358827819189
10.620357020147916,0.0955857331125794,10.907114219485655,10.333599820810177
10.620369549455313,0.09558642916363401,10.907128836946216,10.333610261964411
10.620366162267224,0.09558869132956149,10.907132236255908,10.33360008827854
10.620365340134192,0.09558938738061609,10.907133502276041,10.333597177992344
10.620368102501178,0.09558886534232515,10.907134698528154,10.333601506474203
10.620483102469608,0.09556659170857762,10.907182877595341,10.333783327343875
10.620483727290713,0.0955648515809411,10.907178282033536,10.33378917254789
10.620482938043002,0.09556572164475938,10.90718010297728,10.333785773108724
10.620488166809082,0.09556311145330458,10.907177501168995,10.333798832449169
10.620490929176068,0.09556258941501362,10.90717869742111,10.333803160931026
10.620493296919198,0.09556502559370476,10.907188373700313,10.333798220138084
10.620495960630219,0.09556398151712284,10.907187905181587,10.333804016078851
10.620494546561405,0.09556659170857762,10.907194321687138,10.333794771435672
10.620515691822973,0.09556241540224997,10.907202938029723,10.333828445616223
10.620520624621161,0.09556328546606822,10.907210481019366,10.333830768222956
10.620523452758789,0.09556311145330458,10.907212787118702,10.333834118398876
10.620581002070987,0.09555475884064926,10.907245278592935,10.333916725549038
10.620632763566642,0.09554605820246663,10.907270938174042,10.333994588959241
10.62063273068132,0.09554588418970297,10.90727038325043,10.333995078112212
10.62064108355292,0.09554466610035743,10.907275081853992,10.334007085251848
10.620645391530005,0.09554222992166629,10.907272081295003,10.334018701765006
10.620645259988718,0.09554153387061169,10.907269861600554,10.334020658376883
10.62066436636037,0.09553666151322941,10.907274350900057,10.334054381820682
10.620669266273236,0.09553735756428401,10.907281338966088,10.334057193580383
10.62067567891088,0.09553596546217481,10.907283575297404,10.334067782524356
10.620678441277866,0.09553544342388384,10.907284771549516,10.334072111006215
10.620674791007206,0.09553631348770211,10.907283731470311,10.3340658505441
10.620668016631027,0.09553579144941114,10.907275390979262,10.334060642282793
10.620668148172312,0.09553648750046576,10.90727761067371,10.334058685670914
10.620665024066794,0.09553509539835654,10.907270310261863,10.334059737871724
10.620717213071625,0.09552361055595547,10.907288044739492,10.334146381403759
10.620720304291824,0.09552482864530104,10.907294790227727,10.334145818355921
10.620773677168222,0.09551456189224555,10.907317362844958,10.334229991491485
10.620771901360873,0.09551525794330015,10.907317675190773,10.334226127530973
10.620771144998484,0.09551630201988208,10.90732005105813,10.334222238938837
10.620776998585669,0.09551699807093668,10.907327992798479,10.334226004372859
10.620781569645322,0.09551595399435478,10.907329431628387,10.334233707662257
10.620784364897629,0.09551560596882747,10.90733118280411,10.334237546991147
10.620776998585669,0.09551699807093668,10.907327992798479,10.334226004372859
10.62078022134715,0.09551891221133686,10.90733695798116,10.33422348471314
10.620784562209558,0.0955166500454094,10.907334512345786,10.33423461207333
10.620777985145306,0.09551717208370034,10.907329501396408,10.334226468894204
10.620830568773993,0.0955077753944631,10.907353894957382,10.334307242590604
10.620836093507965,0.09550673131788119,10.907356287461608,10.334315899554321
10.6208281023749,0.09550986354762693,10.90735769301778,10.334298511732019
10.620833923076761,0.09551038558591787,10.907365079834515,10.334302766319007
10.620837935085955,0.09551142966249981,10.907372224073455,10.334303646098455
10.620837737774027,0.09551038558591787,10.90736889453178,10.334306581016273
10.620838888760272,0.09551142966249981,10.907373177747772,10.334304599772771
10.620837376035492,0.09551351781566364,10.907377929482482,10.334296822588502
10.620832344581341,0.09551212571355441,10.907368721722005,10.334295967440678
10.620835106948327,0.09551160367526346,10.907369917974117,10.334300295922537
10.620848162420865,0.09551003756039059,10.907378275102037,10.334318049739693
10.620853851581442,0.09550986354762693,10.907383442224322,10.334324260938562
10.620854344861261,0.0955074273689358,10.907376626968068,10.334332062754454
10.62084750471444,0.09550655730511753,10.907367176629792,10.334327832799088
10.620852075774094,0.09550551322853562,10.907368615459701,10.334335536088487
10.620851911347488,0.09550464316471735,10.90736584084164,10.334337981853336
10.620853818696121,0.09550464316471735,10.907367748190273,10.334339889201969
10.62085852129706,0.09550429513919005,10.907371406714631,10.33434563587949
10.62086453931085,0.09550586125406293,10.907382123073038,10.33434695554866
10.620864736622778,0.09550690533064485,10.907385452614712,10.334344020630844
10.620866841283338,0.09550794940722675,10.907390689505018,10.334342993061657
10.6208616782879,0.09551090762420884,10.907394401160527,10.334328955415273
