mean_line,std_line,up_line,low_line
1.7019517481327058,0.10243903143099829,2.009268842425701,1.394634653839711
1.7019518256187438,0.10243898311599361,2.0092687749667246,1.394634876270763
1.701952040195465,0.10243945150726567,2.0092703947172623,1.394633685673668
1.701951539516449,0.10243920915632312,2.0092691669854186,1.3946339120474796
1.7019525289535522,0.10243852322928595,2.00926809864141,1.3946369592656942
1.7019519686698914,0.10243867451871133,2.0092679922260253,1.3946359451137575
1.701951014995575,0.10243726687046557,2.009262815606972,1.3946392143841781
1.7019507944583894,0.10243643509878539,2.0092600997547456,1.3946414891620331
1.7019508183002472,0.10243591808402593,2.009258572552325,1.3946430640481693
1.7019496977329254,0.10243612067043008,2.009258059744216,1.3946413357216352
1.7019498646259308,0.10243554254128681,2.0092564922497913,1.3946432370020703
1.7019488334655761,0.10243308175430335,2.0092480787284863,1.394649588202666
1.7019482374191284,0.1024325411890597,2.0092458609863075,1.3946506138519492
1.7019472301006318,0.10243231633940611,2.0092441791188502,1.3946502810824133
1.7019467532634736,0.10243207089216612,2.009242965939972,1.3946505405869751
1.7019461810588836,0.10243151399125815,2.009240723032658,1.3946516390851091
1.7019469141960144,0.10243155183696169,2.0092415697068997,1.3946522586851293
1.7019458651542663,0.10243083162645054,2.009238360033618,1.3946533702749146
1.7019453287124633,0.10243056803054482,2.009237032804098,1.3946536246208288
1.70194451212883,0.10242989760212835,2.0092342049352148,1.3946548193224448
1.7019443333148956,0.1024298415476645,2.0092338579578892,1.394654808671902
1.7019436657428741,0.102429655161543,2.009232631227503,1.3946547002582452
1.701943176984787,0.10242929495447517,2.0092310618482125,1.3946552921213615
1.701941579580307,0.10242837453064488,2.0092267031722417,1.3946564559883723
1.7019413352012633,0.10242808830709664,2.0092256001225532,1.3946570702799734
1.7019404888153076,0.10242772261442128,2.0092236566585715,1.3946573209720436
1.7019398927688598,0.10242787544587484,2.0092235191064844,1.3946562664312352
1.7019395053386688,0.10242712265252694,2.0092208732962495,1.394658137381088
1.7019390404224395,0.10242629697341207,2.0092179313426755,1.3946601495022033
1.701939457654953,0.10242371601549924,2.0092106057014507,1.3946683096084551
1.701939010620117,0.10242352409041335,2.009209582891357,1.394668438348877
1.701939010620117,0.1024241862679386,2.009211569423933,1.3946664518163012
1.7019379615783692,0.10242279100165108,2.0092063345833227,1.394669588573416
1.7019383907318115,0.10242203928967017,2.009204508600822,1.3946722728628012
1.701938158273697,0.10242047167533855,2.0091995732997128,1.3946767432476812
1.7019367814064026,0.10241938645443192,2.0091949407696985,1.3946786220431069
